cycle,date,total_app,total_app_gpa_mean,total_app_mcat_mean,withdraw_before_ac,withdraw_before_ac_gpa_mean,withdraw_before_ac_mcat_mean,rejected_or_defer_md,total_reject,total_reject_gpa_mean,total_reject_mcat_mean,prelim_reject,prelim_reject_gpa_mean,prelim_reject_mcat_mean,reject,reject_gpa_mean,reject_mcat_mean,defer_md,defer_md_gpa_mean,defer_gpa_mcat_mean,available,available_gpa_mean,available_mcat_mean,no_action,no_action_gpa_mean,no_action_mcat_mean,hold,hold_gpa_mean,hold_mcat_mean,request_secondary,request_secondary_gpa_mean,request_secondary_mcat_mean,interview_secheduled,interview_scheduled_gpa_mean,interview_scheduled_mcat_mean,alternative_list,alternative_list_gpa_mean,alternative_list_mcat_mean,accepted,accepted_gpa_mean,accepted_mcat_mean,withdraw_after_acceptance,withdraw_after_acceptance_gpa_mean,withdraw_after_acceptance_mcat_mean,defer_future_year,defer_future_year_gpa_mean,defer_future_year_mcat_mean,rescinded_acceptance,rescinded_acceptance_gpa_mean,rescinded_acceptance_mcat_mean
2022,9/15/21,1503,3.73,512.9,13,3.75,512.6,,248,3.63,510.64,159,3.59,510.5,89,3.71,510.9,4,3.98,520.3,1053,3.73,512.61,115,3.64,505.8,35,3.63,504.2,903,3.74,513.8,185,3.83,517.2,,,,0,,,,,,,,,,,
2022,10/1/21,1574,3.72,512.5,12,3.83,515.3,,497,3.69,512.48,169,3.65,510.7,328,3.71,513.4,2,3.87,521.5,866,3.7,511.15,137,3.6,504.8,26,3.53,502.8,703,3.73,512.7,197,3.85,517.1,,,,0,,,,,,,,,,,
2022,10/5/21,1599,3.71,512.3,17,3.79,514.5,,512,3.69,512.5,177,3.64,510.8,335,3.71,513.4,14,3.91,518.4,850,3.69,510.79,142,3.58,504.1,25,3.53,502.1,683,3.72,512.5,206,3.85,516.9,,,,0,,,,,,,,,,,
2021,10/5/20,1754,3.69,512,13,3.81,516.4,,639,3.69,512.78,342,3.69,512.5,297,3.7,513.1,0,,,897,3.66,510.27,123,3.58,506.3,30,3.5,503.6,744,3.68,511.2,201,3.8,516.6,,,,0,,,,,,,,,,,
2022,10/23/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,
2022,11/1/21,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,
2022,12/2/21,1756,3.69,511.5,37,3.79,514.5,,891,3.67,511.3,,,,,,,17,3.81,515.9,,,,,,,,,,,,,,,,,,,160,3.84,517.6,,,,,,,,,
2022,1/5/22,1765,3.69,511.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,3.84,517.5,1,4,524,,,,,,
2022,1/14/22,1766,,,40,,,,1039,,,71,,,968,,,2,,,,,,128,,,7,,,123,,,40,,,4,,,371,,,2,,,,,,,,
2022,1/15/22,1766,3.69,511.4,40,3.73,512.5,,1051,3.65,510,,,,,,,,,,297,3.63,508.11,,,,,,,,,,,,,,,,378,3.84,517.4,2,3.99,521,,,,,,
2022,2/7/22,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,,,,,,,,,,,
2022,3/1/22,1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,,,,,,,,,,,
2022,4/1/22,1768,3.69,511.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,3.83,516.7,8,,,,,,,,
2022,4/16/22,1768,3.69,511.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,3.83,516.7,13,,,,,,,,
2022,4/21/22,1768,3.69,511.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,3.83,516.7,17,,,,,,,,
2022,4/24/22,1768,3.69,511.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,3.83,516.7,20,,,,,,,,
2022,4/30/22,1768,3.69,511.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,
2022,5/3/22,1768,3.69,511.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,3.82,516.5,41,,,,,,,,
2022,5/4/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753,,,,,,,,,,,
2022,5/7/22,1768,3.69,511.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,3.82,516.4,54,,,,,,,,
2021,11/1/20,1924,3.67,510.8,16,3.79,515,,962,3.66,511.2,,,,,,,,,,946,3.68,510.3,,,,,,,,,,,,,,,,44,3.82,516.8,,,,,,,,,
2021,11/16/20,2031,3.66,510.6,22,3.75,512.1,,1109,3.65,511,,,,,,,,,,812,3.65,509.2,,,,,,,,,,,,,,,,88,3.82,517.4,,,,,,,,,
2021,12/1/20,2043,3.66,510.6,30,3.78,510.9,,1108,3.64,510.5,,,,,,,18,3.76,515.8,744,3.65,509.1,,,,,,,,,,,,,,,,143,3.81,517.5,,,,,,,,,
2021,12/15/20,2052,3.66,510.6,21,3.71,507.1,,1354,3.64,510.3,,,,,,,9,3.75,517.3,480,3.64,508.3,,,,,,,,,,,,,,,,188,3.82,517.2,1,3.92,512,,,,,,
2021,12/24/20,2058,3.66,510.5,20,3.71,507.8,,1343,3.63,510,,,,,,,7,3.7,517.4,431,3.63,507.9,,,,,,,,,,,,,,,,257,3.82,517.3,3,3.75,514,,,,,,
2021,12/28/20,2058,3.66,510.54,19,3.69,507.33,,1338,3.63,509.95,,,,,,,7,3.7,517.43,430,3.63,507.9,,,,,,,,,,,,,,,,264,3.81,517.13,3,3.75,514.01,,,,,,
2021,1/11/21,2059,3.66,510.5,23,3.7,509.4,,1335,3.62,509.5,,,,,,,5,3.65,517.2,375,3.62,507.6,,,,,,,,,,,,,,,,321,3.83,517.6,6,3.85,517.2,,,,,,
2021,2/1/21,2059,3.66,510.54,27,3.58,508.2,,1403,3.62,509.21,,,,,,,,,,210,3.59,505.7,,,,,,,,,,,,,,,,419,3.82,517.06,4,3.89,517,,,,,,
2021,2/15/21,2058,3.66,510.6,16,3.61,508.4,,1373,3.6,508.6,104,3.38,501.3,1259,3.62,509.3,,,,159,3.56,505.03,79,3.58,504.5,15,3.53,504.7,50,3.49,503.8,12,3.76,511.9,3,3.64,514.7,510,3.82,517,3,3.87,517.7,,,,,,
2021,3/1/21,2058,3.66,510.5,11,3.54,506.6,,1312,3.59,508.1,90,3.36,500.5,1211,3.61,508.7,,,,126,3.51,503,61,3.51,502,10,3.52,504.1,40,3.45,501.9,9,3.75,507.3,6,3.68,512.3,609,3.81,516.9,1,3.92,512,1,3.95,507,,,
2021,3/18/21,2061,3.66,511.6,8,3.44,505.8,,1283,3.58,508.7,,,,,,,,,,75,3.49,503.13,,,,,,,,,,,,,,,,695,3.81,517.1,5,3.89,514.2,1,3.95,507,,,
2021,4/1/21,2064,3.66,510.5,7,3.49,503.6,,1263,3.58,507.4,,,,,,,,,,67,3.49,501.56,,,,,,,,,,,,,,,,727,3.8,516.4,8,3.92,515.6,1,3.95,507,,,
2021,4/15/21,2063,3.66,510.5,7,3.49,503.6,,1267,3.57,507.3,,,,,,,,,,54,3.48,501.21,,,,,,,,,,,,,,,,735,3.8,516.4,13,3.89,514.4,3,3.62,505.3,,,
2021,5/1/21,2061,3.66,510.5,7,3.49,503.6,,1236,3.56,507,,,,,,,,,,36,3.54,501.76,,,,,,,,,,,,,,,,782,3.8,516.2,37,3.87,515.5,8,3.82,512.4,,,
2021,6/1/21,2064,3.66,510.5,8,3.56,506.5,,1189,3.55,506.6,,,,,,,,,,29,3.51,501.04,,,,,,,,,,,,,,,,838,3.79,516.1,52,3.86,516,19,3.81,514.3,1,3.89,
2021,6/15/21,2063,3.66,510.5,8,3.56,506.5,,1190,3.66,510.7,50,3.45,500.7,1087,3.56,506.9,,,,28,3.51,500.7,20,3.46,500.5,2,3.81,503,3,3.56,492.7,,,,3,3.59,509,841,3.79,516.1,53,3.86,515.8,20,3.82,514.2,1,3.89,
2020,9/1/19,1496,3.71,512.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2020,11/27/19,1775,3.68,511.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,3.82,516.5,,,,,,,,,
2020,1/3/20,1795,,,31,,,,959,,,,,,,,,,,,486,,,,,,,,,,,,,,,,,,319,,,3,,,,,,,,
2020,2/15/20,1797,,,18,,,,1076,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,528,,,7,,,,,,,,
2020,3/2/20,1794,,,12,,,,1040,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,610,,,6,,,,,,,,
2020,3/17/20,1794,,,7,,,,1031,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,672,,,13,,,,,,,,
2020,3/31/20,1792,,,8,,,,1023,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,691,,,20,,,1,,,,,
2020,4/11/20,1792,,,8,,,,1020,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,700,,,24,,,3,,,,,
2020,4/20/20,1792,,,9,,,,1012,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,714,,,27,,,4,,,,,
2020,5/1/20,1792,,,9,,,,992,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,741,,,63,,,7,,,,,
2020,5/10/20,1792,,,11,,,,966,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,772,,,78,,,8,,,,,
2020,5/20/20,1792,,,8,,,,950,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,795,,,79,,,11,,,,,
2019,9/1/18,1295,3.72,513.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2019,10/3/18,1575,3.7,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,3.82,517,,0,,,,,,,,,,,
2019,10/19/18,1668,3.69,511.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3.8,516.3,,,,,,,,,
2019,10/27/18,1711,,,46,,,,498,,,,,,,,,,,,1665,,,,,,,,,,,,,,200,,,,57,,,1,,,,,,,,
2019,11/1/18,1728,,,43,,,,525,,,,,,,,,,,,1685,,,,,,,,,,,,,,204,,,,77,3.8,516.5,1,,,,,,,,
2019,11/15/18,1764,,,43,,,,626,,,,,,,,,,,,979,,,,,,,,,,,,,,,,,,116,,,2,,,,,,,,
2019,11/30/18,1766,,,69,,,,803,,,,,,,,,,,,708,,,,,,,,,,,,,,,,,,186,,,2,,,,,,,,
2019,12/15/18,1766,,,54,,,897,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,235,,,1,,,,,,,,
2019,12/21/18,1767,,,29,,,978,,,,,,,,,,,,,448,,,,,,,,,,,,,,,,,,312,,,1,,,,,,,,
2019,12/31/18,1772,,,29,,,975,,,,,,,,,,,,,447,,,,,,,,,,,,,,,,,,321,,,2,,,,,,,,
2019,1/16/19,1773,,,26,,,988,,,,,,,,,,,,,416,,,,,,,,,,,,,,,,,,343,,,2,,,,,,,,
2019,1/18/19,1774,,,20,,,1021,,,,,,,,,,,,,327,,,,,,,,,,,,,,,,,,406,,,8,,,,,,,,
2019,1/27/19,1773,,,14,,,1049,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,429,,,6,,,,,,,,
2019,2/3/19,1773,3.66,510.9,14,,,,1044,3.6,508.5,,,,,,,,,,258,3.62,509.9,,,,,,,,,,,,,,,,457,3.82,516.7,7,3.69,512.1,,,,,,
2019,2/9/19,1769,,,11,,,,1073,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,490,,,5,,,,,,,,
2019,2/16/19,1764,,,10,,,,1089,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,523,,,8,,,,,,,,
2019,3/2/19,1766,,,7,,,,1081,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,594,,,5,,,1,,,,,
2019,3/9/19,1767,,,5,,,,1067,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,624,,,13,,,1,,,,,
2019,3/16/19,1766,,,6,,,,1066,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,634,,,14,,,1,,,,,
2019,3/23/19,1766,,,6,,,,1058,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,642,,,16,,,1,,,,,
2019,3/30/19,1766,,,6,,,,1047,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,655,,,18,,,2,,,,,
2019,4/6/19,1765,,,6,,,,1047,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,661,,,21,,,2,,,,,
2019,4/13/19,1765,,,5,,,,1041,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,670,,,22,,,2,,,,,
2019,4/20/19,1765,,,5,,,,1030,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,682,,,26,,,2,,,,,
2019,4/27/19,1765,,,5,,,,1021,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,693,,,36,,,3,,,,,
2019,5/4/19,1766,,,7,,,,996,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,736,,,57,,,8,,,,,
2019,5/11/19,1766,,,7,,,,984,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,749,,,58,,,11,,,,,
2019,5/18/19,1766,,,7,,,,976,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,757,,,62,,,12,,,,,
2019,5/25/19,1767,,,7,,,,977,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,759,,,65,,,14,,,,,
2019,6/1/19,1767,,,7,,,,975,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,762,,,66,,,14,,,,,
2019,6/15/19,1767,,,8,,,,971,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,769,,,69,,,17,,,,,
2019,10/3/19,1789,,,7,,,,979,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,803,,,73,,,22,,,,,
