cycle,applicant,school,complete_month,complete_date,pre-II_reject_month,pre-II_reject_date,interview_received_month,interview_received_date,interview_on_month,interview_on_date,accepted_month,accepted_date,post-II_reject_month,post-II_reject_date
2022,toofastdan,Baylor,July,7/3/2021,,,September,9/21/2021,,,,,,
2022,toofastdan,Case Western,July,7/16/2021,,,August,8/26/2021,,,,,,
2022,toofastdan,Northwestern,July,7/19/2021,,,August,8/25/2021,,,,,,
2022,toofastdan,Oregon Health & Science University,July,7/18/2021,,,September,9/20/2021,,,,,,
2022,toofastdan,UT Southwestern,June,6/26/2021,,,August,8/26/2021,,,,,,
2022,toofastdan,UC Irvine,July,7/28/2021,,,October,10/25/2021,,,,,,
2022,toofastdan,University of Iowa,July,7/11/2021,,,September,9/8/2021,,,,,,
2022,toofastdan,University of North Carolina,July,7/17/2021,,,November,11/10/2021,,,,,,
2022,toofastdan,University of Washington,July,7/19/2021,,,August,8/2/2021,,,,,,
2022,toofastdan,Vanderbilt,July,7/14/2021,,,August,8/27/2021,,,,,,
2022,DrDriven07,Baylor,July,7/7/2021,,,September,9/21/2021,,,,,,
2022,DrDriven07,Case Western,July,7/15/2021,,,August,8/26/2021,,,,,,
2022,DrDriven07,Columbia,July,7/8/2021,,,August,8/25/2021,,,,,,
2022,DrDriven07,Emory,July,7/22/2021,,,September,9/7/2021,,,,,,
2022,DrDriven07,Harvard,July,7/12/2021,,,September,9/22/2021,,,,,,
2022,DrDriven07,Indiana University,July,7/2/2021,,,August,8/10/2021,,,,,,
2022,DrDriven07,Mayo Clinic,July,7/16/2021,,,September,9/29/2021,,,,,,
2022,DrDriven07,New York University,July,7/11/2021,,,September,9/20/2021,,,,,,
2022,DrDriven07,Ohio State University,July,7/18/2021,,,August,8/13/2021,,,,,,
2022,DrDriven07,Stanford,July,7/11/2021,,,November,11/14/2021,,,,,,
2022,DrDriven07,UT San Antonio,July,7/10/2021,,,July,7/30/2021,,,,,,
2022,DrDriven07,UT Southwestern,July,7/1/2021,,,September,9/9/2021,,,,,,
2022,DrDriven07,University of Alabama,July,7/23/2021,,,August,8/17/2021,,,,,,
2022,DrDriven07,UC Los Angeles,July,7/19/2021,,,September,9/7/2021,,,,,,
2022,DrDriven07,University of Florida,July,7/20/2021,,,October,10/28/2021,,,,,,
2022,DrDriven07,University of Miami,July,7/14/2021,,,September,9/28/2021,,,,,,
2022,DrDriven07,Perelman School of Medicine,July,7/7/2021,,,September,9/21/2021,,,,,,
2022,DrDriven07,University of Rochester,July,7/8/2021,,,August,8/25/2021,,,,,,
2022,DrDriven07,Weill Cornell Tri-I,July,7/21/2021,,,August,8/4/2021,,,,,,
2022,DrDriven07,Yale,July,7/22/2021,,,November,11/22/2021,,,,,,
2022,hanuman123,Baylor,July,7/25/2021,,,September,9/21/2021,,,,,,
2022,hanuman123,Johns Hopkins,August,8/10/2021,,,September,9/30/2021,,,,,,
2022,hanuman123,Medical University of South Carolina,August,8/2/2021,,,September,9/14/2021,,,,,,
2022,hanuman123,New York University,August,8/10/2021,,,September,9/9/2021,,,,,,
2022,hanuman123,University of Alabama,August,8/2/2021,,,August,8/17/2021,,,,,,
2022,hanuman123,University of Rochester,August,8/1/2021,,,September,9/29/2021,,,,,,
2022,NeuroImmunoMSTP,Baylor,July,7/16/2021,,,October,10/7/2021,,,,,,
2022,NeuroImmunoMSTP,Columbia,July,7/19/2021,,,September,9/13/2021,,,,,,
2022,NeuroImmunoMSTP,Icahn at Mt. Sinai,July,7/11/2021,,,October,10/1/2021,,,,,,
2022,NeuroImmunoMSTP,Ohio State University,August,8/5/2021,,,September,9/3/2021,,,,,,
2022,NeuroImmunoMSTP,UT San Antonio,July,7/10/2021,,,July,7/30/2021,,,,,,
2022,NeuroImmunoMSTP,UT Southwestern,June,6/30/2021,,,August,8/26/2021,,,,,,
2022,NeuroImmunoMSTP,University of Massachusetts,July,7/23/2021,,,October,10/5/2021,,,,,,
2022,NeuroImmunoMSTP,University of Virginia,July,7/21/2021,,,September,9/27/2021,,,,,,
2022,NeuroImmunoMSTP,Weill Cornell Tri-I,July,7/27/2021,,,August,8/18/2021,,,,,,
2022,larynxlady,Baylor,July,7/5/2021,,,October,10/7/2021,,,,,,
2022,larynxlady,Columbia,July,7/15/2021,,,August,8/25/2021,,,,,,
2022,larynxlady,Emory,July,7/21/2021,,,September,9/7/2021,,,,,,
2022,larynxlady,Indiana University,June,6/25/2021,,,October,10/21/2021,,,,,,
2022,larynxlady,Mayo Clinic,July,7/17/2021,,,November,11/10/2021,,,,,,
2022,larynxlady,Stanford,July,7/8/2021,,,September,9/10/2021,,,,,,
2022,larynxlady,UT San Antonio,July,7/10/2021,,,July,7/30/2021,,,,,,
2022,larynxlady,University of Cincinnati,July,7/13/2021,,,September,9/16/2021,,,,,,
2022,larynxlady,University of Colorado,July,7/28/2021,,,October,10/18/2021,,,,,,
2022,larynxlady,University of Iowa,July,7/21/2021,,,September,9/2/2021,,,,,,
2022,larynxlady,Perelman School of Medicine,July,7/2/2021,,,September,9/21/2021,,,,,,
2022,larynxlady,University of Rochester,July,7/31/2021,,,November,11/9/2021,,,,,,
2022,larynxlady,University of Wisconsin,July,7/25/2021,,,August,8/23/2021,,,,,,
2022,larynxlady,WashU in St. Louis,August,8/9/2021,,,December,12/7/2021,,,,,,
2022,TheCicadaCircle,Baylor,July,7/15/2021,,,October,10/7/2021,,,,,,
2022,TheCicadaCircle,Duke,July,7/29/2021,,,September,9/7/2021,,,,,,
2022,TheCicadaCircle,Albert Einstein,July,7/1/2021,,,September,9/12/2021,,,,,,
2022,TheCicadaCircle,Emory,July,7/27/2021,,,September,9/7/2021,,,,,,
2022,TheCicadaCircle,Icahn at Mt. Sinai,June,6/28/2021,,,August,8/7/2021,,,,,,
2022,TheCicadaCircle,Johns Hopkins,July,7/7/2021,,,September,9/1/2021,,,,,,
2022,TheCicadaCircle,Mayo Clinic,July,7/28/2021,,,October,10/6/2021,,,,,,
2022,TheCicadaCircle,University of Colorado,August,8/5/2021,,,September,9/23/2021,,,,,,
2022,TheCicadaCircle,University of Minnesota,August,8/27/2021,,,September,9/16/2021,,,,,,
2022,TheCicadaCircle,University of Washington,August,8/5/2021,,,August,8/13/2021,,,,,,
2022,dangoi1,Baylor,July,7/12/2021,,,November,11/7/2021,,,,,,
2022,dangoi1,Emory,August,8/14/2021,,,September,9/7/2021,,,,,,
2022,dangoi1,Indiana University,July,7/16/2021,,,August,8/10/2021,,,,,,
2022,dangoi1,Northwestern,August,8/3/2021,,,September,9/8/2021,,,,,,
2022,dangoi1,UT San Antonio,July,7/10/2021,,,July,7/30/2021,,,,,,
2022,dangoi1,University of Chicago,July,7/14/2021,,,August,8/23/2021,,,,,,
2022,dangoi1,University of Illinois,August,8/3/2021,,,September,9/21/2021,,,,,,
2022,dangoi1,WashU in St. Louis,August,8/21/2021,,,November,11/16/2021,,,,,,
2022,dsracer9,Baylor,July,,,,December,12/13/2021,,,,,,
2022,dsracer9,Emory,July,,,,September,9/7/2021,,,,,,
2022,dsracer9,Saint Louis University,June,,,,November,11/15/2021,,,,,,
2022,dsracer9,University of Alabama,July,7/29/2021,,,August,8/17/2021,,,,,,
2022,dsracer9,University of Illinois,June,,,,September,9/21/2021,,,,,,
2022,dsracer9,University of Utah,July,,,,September,9/21/2021,,,,,,
2022,dsracer9,University of Wisconsin,July,7/29/2021,,,August,8/23/2021,,,,,,
2022,mdphd63627,Case Western,July,7/16/2021,,,August,8/26/2021,,,,,,
2022,mdphd63627,Emory,July,7/23/2021,,,September,9/3/2021,,,,,,
2022,mdphd63627,Harvard,July,7/13/2021,,,November,11/29/2021,,,,,,
2022,mdphd63627,Icahn at Mt. Sinai,July,7/8/2021,,,September,9/17/2021,,,,,,
2022,mdphd63627,Indiana University,July,7/28/2021,,,October,10/1/2021,,,,,,
2022,mdphd63627,Johns Hopkins,July,7/30/2021,,,October,10/12/2021,,,,,,
2022,mdphd63627,Loyola University,July,7/13/2021,,,September,9/28/2021,,,,,,
2022,mdphd63627,Medical College of Georgia,August,8/13/2021,,,October,10/19/2021,,,,,,
2022,mdphd63627,University of Florida,July,7/21/2021,,,August,8/24/2021,,,,,,
2022,mdphd63627,University of Illinois,July,7/29/2021,,,October,10/4/2021,,,,,,
2022,mdphd63627,University of Kentucky,July,7/30/2021,,,September,9/16/2021,,,,,,
2022,mdphd63627,University of Missouri,July,7/10/2021,,,October,10/1/2021,,,,,,
2022,mdphd63627,University of South Florida,July,7/12/2021,,,August,8/24/2021,,,,,,
2022,mdphd63627,University of Tennessee,July,7/24/2021,,,October,10/18/2021,,,,,,
2022,mdphd63627,University of Virginia,July,7/29/2021,,,August,8/20/2021,,,,,,
2022,mdphd63627,Vanderbilt,July,7/17/2021,,,September,9/1/2021,,,,,,
2022,mdphd63627,Virginia Commonwealth,July,7/29/2021,,,October,10/28/2021,,,,,,
2022,mdphd63627,WashU in St. Louis,July,,,,September,9/13/2021,,,,,,
2022,mdphd63627,West Virginia University,July,7/28/2021,,,August,8/27/2021,,,,,,
2022,ThJSTRY,Case Western,July,7/20/2021,,,August,8/26/2021,,,,,,
2022,ThJSTRY,Tufts,July,7/7/2021,,,September,9/29/2021,,,,,,
2022,ThJSTRY,University of Wisconsin,August,8/2/2021,,,September,9/18/2021,,,,,,
2022,pharmabro11,Case Western,July,7/23/2021,,,August,8/26/2021,,,,,,
2022,pharmabro11,Emory,July,7/29/2021,,,September,9/7/2021,,,,,,
2022,pharmabro11,Johns Hopkins,July,7/21/2021,,,October,10/28/2021,,,,,,
2022,pharmabro11,Northwestern,July,7/31/2021,,,September,9/22/2021,,,,,,
2022,pharmabro11,New York University,July,7/14/2021,,,September,9/9/2021,,,,,,
2022,pharmabro11,Perelman School of Medicine,July,7/12/2021,,,September,9/21/2021,,,,,,
2022,pharmabro11,University of Pittsburgh,July,7/15/2021,,,August,8/27/2021,,,,,,
2022,pharmabro11,Vanderbilt,July,7/24/2021,,,October,10/13/2021,,,,,,
2022,pharmabro11,WashU in St. Louis,July,7/16/2021,,,November,11/1/2021,,,,,,
2022,toolcake,Case Western,July,7/9/2021,,,August,8/26/2021,,,,,,
2022,toolcake,Columbia,July,7/10/2021,,,August,8/25/2021,,,,,,
2022,toolcake,Harvard,July,7/6/2021,,,September,9/28/2021,,,,,,
2022,toolcake,Medical University of South Carolina,July,7/10/2021,,,August,8/24/2021,,,,,,
2022,toolcake,New York University,June,6/29/2021,,,October,10/29/2021,,,,,,
2022,toolcake,Rutgers New Jersey Medical School,June,6/29/2021,,,September,9/15/2021,,,,,,
2022,toolcake,University of Kentucky,July,7/11/2021,,,September,9/16/2021,,,,,,
2022,toolcake,University of Massachusetts,July,7/8/2021,,,September,9/7/2021,,,,,,
2022,toolcake,University of Michigan,June,6/25/2021,,,August,8/10/2021,,,,,,
2022,toolcake,Perelman School of Medicine,June,6/28/2021,,,September,9/22/2021,,,,,,
2022,toolcake,University of Virginia,July,7/8/2021,,,November,11/1/2021,,,,,,
2022,toolcake,University of Wisconsin,July,7/20/2021,,,August,8/23/2021,,,,,,
2022,toolcake,Weill Cornell Tri-I,July,7/12/2021,,,September,9/3/2021,,,,,,
2022,mickmars51,Case Western,July,7/9/2021,,,December,12/11/2021,,,,,,
2022,mickmars51,Zucker at Hofstra/Northwell,June,6/7/2021,,,August,8/18/2021,,,,,,
2022,mickmars51,Duke,July,7/15/2021,,,September,9/9/2021,,,,,,
2022,mickmars51,Ohio State University,July,7/18/2021,,,August,8/13/2021,,,,,,
2022,mickmars51,Pennsylvania State University,June,6/22/2021,,,August,8/27/2021,,,,,,
2022,mickmars51,Texas A&M,August,8/6/2021,,,August,8/16/2021,,,,,,
2022,mickmars51,UC San Diego,June,6/29/2021,,,October,10/18/2021,,,,,,
2022,mickmars51,University of Cincinnati,July,7/14/2021,,,September,9/20/2021,,,,,,
2022,mickmars51,University of Illinois,July,7/2/2021,,,October,10/19/2021,,,,,,
2022,mickmars51,University of Iowa,June,6/21/2021,,,August,8/27/2021,,,,,,
2022,mickmars51,University of Massachusetts,July,7/16/2021,,,September,9/7/2021,,,,,,
2022,mickmars51,University of Miami,July,7/7/2021,,,September,9/21/2021,,,,,,
2022,mickmars51,UT Houston,August,8/3/2021,,,September,9/7/2021,,,,,,
2022,mickmars51,Weill Cornell Tri-I,July,7/15/2021,,,August,8/18/2021,,,,,,
2022,mickmars51,Yale,August,8/14/2021,,,October,10/5/2021,,,,,,
2022,chips0807,Case Western,July,7/22/2021,,,December,12/11/2021,,,,,,
2022,chips0807,Columbia,July,7/22/2021,,,October,10/18/2021,,,,,,
2022,chips0807,Medical University of South Carolina,August,8/16/2021,,,September,9/14/2021,,,,,,
2022,chips0807,Rutgers Robert Wood Johnson,July,7/22/2021,,,October,10/18/2021,,,,,,
2022,chips0807,Thomas Jefferson,September,9/15/2021,,,October,10/5/2021,,,,,,
2022,chips0807,Vanderbilt,July,7/22/2021,,,September,9/1/2021,,,,,,
2022,MacroPhagoCytosis,Columbia,July,7/14/2021,,,August,8/25/2021,,,,,,
2022,MacroPhagoCytosis,Duke,July,7/27/2021,,,September,9/7/2021,,,,,,
2022,MacroPhagoCytosis,Emory,July,7/22/2021,,,September,9/3/2021,,,,,,
2022,MacroPhagoCytosis,Harvard,July,7/14/2021,,,October,10/12/2021,,,,,,
2022,MacroPhagoCytosis,Icahn at Mt. Sinai,August,8/4/2021,,,October,10/1/2021,,,,,,
2022,MacroPhagoCytosis,Johns Hopkins,July,7/16/2021,,,September,9/1/2021,,,,,,
2022,MacroPhagoCytosis,Northwestern,July,7/28/2021,,,August,8/25/2021,,,,,,
2022,MacroPhagoCytosis,Rutgers Robert Wood Johnson,July,7/5/2021,,,September,9/10/2021,,,,,,
2022,MacroPhagoCytosis,UT San Antonio,July,7/10/2021,,,July,7/30/2021,,,,,,
2022,MacroPhagoCytosis,University of Pittsburgh,July,7/2/2021,,,September,9/30/2021,,,,,,
2022,MacroPhagoCytosis,University of Rochester,July,7/4/2021,,,August,8/24/2021,,,,,,
2022,MacroPhagoCytosis,University of Virginia,August,8/3/2021,,,September,9/28/2021,,,,,,
2022,MacroPhagoCytosis,WashU in St. Louis,July,7/25/2021,,,August,8/25/2021,,,,,,
2022,MacroPhagoCytosis,Yale,July,7/19/2021,,,October,10/5/2021,,,,,,
2022,sesteretina,Columbia,July,7/18/2021,,,September,9/13/2021,,,,,,
2022,sesteretina,Emory,August,8/4/2021,,,September,9/7/2021,,,,,,
2022,sesteretina,Johns Hopkins,July,7/20/2021,,,September,9/14/2021,,,,,,
2022,sesteretina,Mayo Clinic,July,7/31/2021,,,October,10/28/2021,,,,,,
2022,sesteretina,Northwestern,August,8/8/2021,,,November,11/15/2021,,,,,,
2022,sesteretina,University of Massachusetts,July,7/21/2021,,,September,9/7/2021,,,,,,
2022,sesteretina,University of North Carolina,July,7/23/2021,,,November,11/10/2021,,,,,,
2022,sesteretina,Perelman School of Medicine,July,7/5/2021,,,October,10/11/2021,,,,,,
2022,sesteretina,Vanderbilt,July,7/23/2021,,,August,8/17/2021,,,,,,
2022,sesteretina,Yale,July,7/28/2021,,,November,11/16/2021,,,,,,
2022,znoruen,Columbia,July,7/20/2021,,,October,10/18/2021,,,,,,
2022,znoruen,Harvard,July,7/23/2021,,,November,11/29/2021,,,,,,
2022,znoruen,Johns Hopkins,July,7/21/2021,,,September,9/22/2021,,,,,,
2022,znoruen,Northwestern,July,7/28/2021,,,October,10/18/2021,,,,,,
2022,znoruen,New York University,July,7/19/2021,,,September,9/20/2021,,,,,,
2022,znoruen,University of Chicago,July,7/15/2021,,,August,8/23/2021,,,,,,
2022,znoruen,Perelman School of Medicine,July,7/11/2021,,,September,9/21/2021,,,,,,
2022,znoruen,University of Pittsburgh,July,7/14/2021,,,August,8/20/2021,,,,,,
2022,ilycoffee,Dartmouth,July,7/13/2021,,,September,9/17/2021,,,,,,
2022,ilycoffee,Michigan State University,July,7/27/2021,,,October,10/5/2021,,,,,,
2022,ilycoffee,Oregon Health & Science University,July,7/14/2021,,,September,9/27/2021,,,,,,
2022,ilycoffee,University of Arizona - Tucson,July,7/5/2021,,,October,10/1/2021,,,,,,
2022,ilycoffee,UC Irvine,July,7/14/2021,,,September,9/27/2021,,,,,,
2022,ilycoffee,University of Illinois,June,6/30/2021,,,October,10/4/2021,,,,,,
2022,ilycoffee,University of Iowa,July,7/14/2021,,,September,9/23/2021,,,,,,
2022,ilycoffee,University of Minnesota,July,7/14/2021,,,August,8/12/2021,,,,,,
2022,ilycoffee,University of Utah,July,7/14/2021,,,September,9/14/2021,,,,,,
2022,florizel,Zucker at Hofstra/Northwell,July,7/9/2021,,,August,8/11/2021,,,,,,
2022,installation2020,Zucker at Hofstra/Northwell,August,8/8/2021,,,August,8/11/2021,,,,,,
2022,installation2020,Icahn at Mt. Sinai,August,8/8/2021,,,August,8/24/2021,,,,,,
2022,swagyolo,Zucker at Hofstra/Northwell,July,7/18/2021,,,August,8/18/2021,,,,,,
2022,swagyolo,Drexel,July,7/13/2021,,,November,11/12/2021,,,,,,
2022,swagyolo,Stanford,August,8/2/2021,,,November,11/14/2021,,,,,,
2022,swagyolo,Tufts,July,7/20/2021,,,September,9/29/2021,,,,,,
2022,swagyolo,UC Irvine,July,7/25/2021,,,September,9/28/2021,,,,,,
2022,swagyolo,UC Los Angeles,July,7/28/2021,,,November,11/11/2021,,,,,,
2022,swagyolo,Yale,August,8/14/2021,,,November,11/22/2021,,,,,,
2022,lucyaxolotl,Zucker at Hofstra/Northwell,July,7/2/2021,,,August,8/18/2021,,,,,,
2022,lucyaxolotl,Icahn at Mt. Sinai,July,7/5/2021,,,August,8/6/2021,,,,,,
2022,lucyaxolotl,New York University,July,7/18/2021,,,August,8/23/2021,,,,,,
2022,lucyaxolotl,Stony Brook,July,7/15/2021,,,August,8/25/2021,,,,,,
2022,lucyaxolotl,Texas A&M,August,8/6/2021,,,August,8/16/2021,,,,,,
2022,lucyaxolotl,UT San Antonio,July,7/10/2021,,,July,7/30/2021,,,,,,
2022,mosquitogfp,Drexel,July,7/7/2021,,,November,11/19/2021,,,,,,
2022,mosquitogfp,Indiana University,July,7/2/2021,,,October,10/1/2021,,,,,,
2022,mosquitogfp,Loyola University,August,8/5/2021,,,September,9/28/2021,,,,,,
2022,AverageMDPhD,Drexel,October,10/27/2021,,,November,11/15/2021,,,,,,
2022,AverageMDPhD,Mayo Clinic,October,10/11/2021,,,December,12/7/2021,,,,,,
2022,AverageMDPhD,Rutgers Robert Wood Johnson,November,11/2/2021,,,November,11/28/2021,,,,,,
2022,AverageMDPhD,UT San Antonio,September,9/11/2021,,,October,10/28/2021,,,,,,
2022,AverageMDPhD,University of North Carolina,October,10/4/2021,,,November,11/10/2021,,,,,,
2022,AverageMDPhD,UT Medical Branch,November,11/1/2021,,,November,11/10/2021,,,,,,
2022,MarxistHegelian,Albert Einstein,July,7/10/2021,,,September,9/21/2021,,,,,,
2022,MarxistHegelian,Oregon Health & Science University,July,7/08/2021,,,September,9/20/2021,,,,,,
2022,MarxistHegelian,University of Iowa,July,7/15/2021,,,August,8/27/2021,,,,,,
2022,MarxistHegelian,Yale,August,8/13/2021,,,November,11/19/2021,,,,,,
2022,MDPhDcapable,Albert Einstein,July,,,,September,,,,,,,
2022,MDPhDcapable,Icahn at Mt. Sinai,July,,,,August,,,,,,,
2022,MDPhDcapable,Kaiser,July,,,,October,,,,,,,
2022,MDPhDcapable,Northwestern,August,,,,August,,,,,,,
2022,MDPhDcapable,UC Irvine,August,,,,September,,,,,,,
2022,MDPhDcapable,UC San Diego,July,,,,November,,,,,,,
2022,MDPhDcapable,University of Minnesota,August,,,,August,,,,,,,
2022,MDPhDcapable,University of Pittsburgh,July,,,,August,,,,,,,
2022,MDPhDcapable,Vanderbilt,August,,,,September,,,,,,,
2022,MDPhDcapable,WashU in St. Louis,July,,,,August,,,,,,,
2022,MDPhDcapable,Yale,July,,,,November,,,,,,,
2022,dyingpremed,Albert Einstein,August,8/4/2021,,,October,10/12/2021,,,,,,
2022,dyingpremed,Icahn at Mt. Sinai,August,8/4/2021,,,October,10/1/2021,,,,,,
2022,dyingpremed,New York University,August,8/4/2021,,,September,9/20/2021,,,,,,
2022,dyingpremed,Tufts,August,8/4/2021,,,September,9/29/2021,,,,,,
2022,dyingpremed,University of Miami,August,8/4/2021,,,November,11/1/2021,,,,,,
2022,dyingpremed,USC-Caltech,August,8/4/2021,,,September,9/20/2021,,,,,,
2022,VaccMDPHD,Albert Einstein,September,9/1/2021,,,November,11/4/2021,,,,,,
2022,yibs,Emory,August,8/7/2021,,,September,9/7/2021,,,,,,
2022,yibs,University of Chicago,August,8/7/2021,,,September,9/21/2021,,,,,,
2022,yibs,University of Connecticut,July,7/23/2021,,,August,8/27/2021,,,,,,
2022,yibs,University of Massachusetts,August,8/10/2021,,,September,9/7/2021,,,,,,
2022,yibs,University of Michigan,July,7/26/2021,,,September,9/17/2021,,,,,,
2022,yibs,University of North Carolina,July,7/29/2021,,,September,9/17/2021,,,,,,
2022,yibs,Perelman School of Medicine,July,7/23/2021,,,September,9/22/2021,,,,,,
2022,yibs,University of Rochester,July,7/24/2021,,,September,9/29/2021,,,,,,
2022,yibs,Weill Cornell Tri-I,July,7/30/2021,,,August,8/19/2021,,,,,,
2022,eagle_123,Icahn at Mt. Sinai,August,8/26/2021,,,October,10/28/2021,,,,,,
2022,eagle_123,Kaiser,August,8/26/2021,,,October,10/12/2021,,,,,,
2022,eagle_123,Mayo Clinic,August,8/26/2021,,,October,10/15/2021,,,,,,
2022,eagle_123,Northwestern,August,8/26/2021,,,October,10/18/2021,,,,,,
2022,eagle_123,UT San Antonio,August,8/26/2021,,,September,9/27/2021,,,,,,
2022,eagle_123,UT Southwestern,August,8/26/2021,,,October,10/19/2021,,,,,,
2022,eagle_123,University of Chicago,August,8/26/2021,,,September,9/21/2021,,,,,,
2022,eagle_123,University of Illinois,August,8/26/2021,,,September,9/21/2021,,,,,,
2022,eagle_123,University of Rochester,August,8/26/2021,,,September,9/28/2021,,,,,,
2022,eagle_123,WashU in St. Louis,August,8/26/2021,,,September,9/16/2021,,,,,,
2022,misterjohndoe,Indiana University,July,7/1/2021,,,August,8/10/2021,,,,,,
2022,misterjohndoe,Texas A&M,July,7/19/2021,,,July,7/30/2021,,,,,,
2022,misterjohndoe,University of Iowa,July,7/24/2021,,,August,8/27/2021,,,,,,
2022,VaultArmitage,Indiana University,July,7/23/2021,,,October,10/1/2021,,,,,,
2022,VaultArmitage,Texas A&M,August,8/12/2021,,,August,8/16/2021,,,,,,
2022,VaultArmitage,Tufts,July,7/31/2021,,,September,9/29/2021,,,,,,
2022,aliceinscieneland,Indiana University,August,8/20/2021,,,September,9/20/2021,,,,,,
2022,dualdegreepossibly,Kaiser,October,10/4/2021,,,November,11/24/2021,,,,,,
2022,dualdegreepossibly,UC San Diego,September,9/8/2021,,,November,11/19/2021,,,,,,
2022,dualdegreepossibly,Yale,November,11/9/2021,,,December,12/7/2021,,,,,,
2022,MDPhDmaybe?,Loyola University,July,7/14/2021,,,October,10/14/2021,,,,,,
2022,MDPhDmaybe?,Marshall,July,7/1/2021,,,December,12/1/2021,,,,,,
2022,MDPhDmaybe?,University of Louisville,July,7/14/2021,,,September,9/20/2021,,,,,,
2022,mudfud26,Marshall,August,8/13/2021,,,December,12/1/2021,,,,,,
2022,mudfud26,Pennsylvania State University,September,9/22/2021,,,October,10/21/2021,,,,,,
2022,mudfud26,Rutgers Robert Wood Johnson,September,9/19/2021,,,November,11/28/2021,,,,,,
2022,mudfud26,West Virginia University,August,8/15/2021,,,October,10/11/2021,,,,,,
2022,MT-GU-MD,Mayo Clinic,July,,,,November,11/1/2021,,,,,,
2022,MT-GU-MD,University of Utah,August,,,,September,,,,,,,
2022,MT-GU-MD,WashU in St. Louis,July,,,,November,11/15/2021,,,,,,
2022,ikauga,Mayo Clinic,September,9/20/2021,,,November,11/16/2021,,,,,,
2022,ikauga,University of Arizona - Phoenix,October,10/1/2021,,,November,11/1/2021,,,,,,
